phase,dataset,split,protocol,model,seed,config_tag,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,ece_mean,ece_std
PHASE1_MAIN,A,S2,P0,rf,2026,PHASE1_MAIN,0.949550163526955,0.007821157356534872,0.5547199812540289,0.08655115843752381,0.017028441505928332,0.0014734597447423712,0.009633508935621787,0.0017316206274611953
PHASE1_MAIN,A,S2,P0,svm_linear_cal,2026,PHASE1_MAIN,0.9064190311251454,0.02603920550896455,0.4552176640803992,0.08705654553030504,0.01793267429774608,0.0011787574514687184,0.007047841690426803,0.0025552041780360366
PHASE1_MAIN,A,S2,P0,xgb,2026,PHASE1_MAIN,0.9606045110487141,0.001061877936305972,0.5605368949852357,0.10049811237412636,0.01583181665291462,0.0007832427553919836,0.007512017622523748,0.001416587189140241
PHASE1_MAIN,A,S2,P1,extratrees,2026,PHASE1_MAIN,0.9521413281086385,0.005641137535239325,0.5360787468681212,0.1012973897214933,0.017669141187958787,0.0010751377626714608,0.012127657701718888,0.0025263434670835046
PHASE1_MAIN,A,S2,P1,lr_l2,2026,PHASE1_MAIN,0.9134221277261236,0.021370985351681505,0.4444630581474936,0.09110995657603717,0.018156774845933744,0.001145860161226784,0.006816097476223556,0.0022306788610283457
PHASE1_MAIN,A,S2,P1,rf,2026,PHASE1_MAIN,0.951586912894502,0.007410386800611909,0.555888192960097,0.08701128603644667,0.016830497252585917,0.001111770875366002,0.008600484543388864,0.001612049251138812
PHASE1_MAIN,A,S2,P1,svm_linear_cal,2026,PHASE1_MAIN,0.9065228490414888,0.02591668874757983,0.45484108977890025,0.0873798896674292,0.017932096958666637,0.0011732933985865782,0.0071048581591218645,0.00233337103866284
PHASE1_MAIN,A,S2,P1,xgb,2026,PHASE1_MAIN,0.9599434365104467,0.002878160048222299,0.5709938532543685,0.10291763553934798,0.01564310047063195,0.0007967512931626467,0.007206530822153744,0.0012309134515767707
PHASE1_MAIN,A,S2,P2,extratrees,2026,PHASE1_MAIN,0.9492573079857705,0.003760213973214473,0.5218351042430549,0.093852791723416,0.018276586136223148,0.0016051281793079183,0.013530265809157121,0.0014041895039843657
PHASE1_MAIN,A,S2,P2,lr_l2,2026,PHASE1_MAIN,0.9138242028609007,0.021718111920107062,0.4443659756328439,0.09414040683555629,0.018148846610862086,0.0011933173737604672,0.0065100586180071906,0.0017745453506370528
PHASE1_MAIN,A,S2,P2,rf,2026,PHASE1_MAIN,0.9493888311041493,0.007903471942659161,0.5535855848705908,0.0861720862800323,0.017035126509911395,0.001480777765401205,0.009458158856004886,0.0016629034734327599
PHASE1_MAIN,A,S2,P2,svm_linear_cal,2026,PHASE1_MAIN,0.9064122060268559,0.02606065247479387,0.4553456328503553,0.08707975145298236,0.01793257169154858,0.0011782953881312136,0.006891370925144527,0.0028029818889931763
PHASE1_MAIN,A,S2,P2,xgb,2026,PHASE1_MAIN,0.9606045110487141,0.001061877936305972,0.5605368949852357,0.10049811237412636,0.01583181665291462,0.0007832427553919836,0.007512017622523748,0.001416587189140241
PHASE1_MAIN,A,S2,P3,extratrees,2026,PHASE1_MAIN,0.9523817213263588,0.007291118197113757,0.5509912895365204,0.10918168258731638,0.016644639646911617,0.0011041227479586144,0.00866082847965445,0.0011371057853307167
PHASE1_MAIN,A,S2,P3,lr_l2,2026,PHASE1_MAIN,0.8983007687796508,0.024524946970835907,0.4326891890678044,0.08829589607971972,0.018554776831828667,0.0013884697387431149,0.008873788908982098,0.0027416610840341146
PHASE1_MAIN,A,S2,P3,rf,2026,PHASE1_MAIN,0.9528828825879753,0.0071389935562874785,0.5528527379660726,0.08697742060607934,0.016380072176607623,0.0009809473567013035,0.0056274533406075085,0.001110264810252851
PHASE1_MAIN,A,S2,P3,svm_linear_cal,2026,PHASE1_MAIN,0.8869753314481574,0.030027112655180214,0.44559408012120105,0.0910948834321265,0.018332953698044482,0.0013256547164556534,0.008719193990353988,0.0029134693453792496
PHASE1_MAIN,A,S2,P3,xgb,2026,PHASE1_MAIN,0.9568767491343578,0.004802336634589038,0.5671271197918859,0.0967455377166104,0.015750730914748677,0.0005817842911563108,0.007023723165551471,0.0010386086739974944
PHASE2_REPRO,A,S1,P0,extratrees,1001,PHASE2_REPRO,0.9505780670022306,0.010589115811527005,0.5415169209432362,0.07632072558728752,0.01786415099601115,0.0014865937861272681,0.01082785255976275,0.002256733485009869
PHASE2_REPRO,A,S1,P0,extratrees,1002,PHASE2_REPRO,0.9477173553242805,0.007744813168935809,0.5356893035313661,0.062090922436110196,0.017982221579615057,0.0006952843812401863,0.011329413008179601,0.002722473543442691
PHASE2_REPRO,A,S1,P0,extratrees,1003,PHASE2_REPRO,0.9516153998178798,0.01083920992611427,0.5302714607982091,0.045531764557865874,0.01807916688252203,0.000685800440534145,0.012300738398455947,0.0027849178567309276
PHASE2_REPRO,A,S1,P0,extratrees,1004,PHASE2_REPRO,0.9493831946987179,0.011035964803351221,0.5421797702767507,0.07302257968440473,0.017988243608884468,0.0013023494431448816,0.012026919496722199,0.0024888875606094364
