timestamp,phase,dataset,split,protocol,model,seed,config_tag,fold,n_train,n_test,prevalence_test,auroc,ap,brier,ece,best_params
2026-02-26 22:34:34,PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9392835458409229,0.5578280350123668,0.016026152723918545,0.00689109365897554,"{""clf__C"": 1.0}"
2026-02-26 22:34:35,PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.8817465814925985,0.3044422045819959,0.020513005598243993,0.007200744854941616,"{""clf__C"": 1.0}"
2026-02-26 22:34:36,PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9115267195156367,0.4638099127864164,0.01790883959534927,0.005366728385123514,"{""clf__C"": 1.0}"
2026-02-26 22:34:37,PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9218446307094266,0.5098721926381706,0.016906994839877256,0.006077088511137512,"{""clf__C"": 0.1}"
2026-02-26 22:34:38,PHASE1_MAIN,A,S1,P0,lr_l2,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9214498299319728,0.466103221717421,0.01807679828038119,0.004137941803876579,"{""clf__C"": 1.0}"
2026-02-26 22:34:40,PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9373760372394252,0.5600216164609727,0.016148547504267148,0.007719390671647418,"{""clf__C"": 1.0}"
2026-02-26 22:34:41,PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.8607506606121244,0.2967417114718571,0.02082886386666821,0.005247920575802054,"{""clf__C"": 10.0}"
2026-02-26 22:34:43,PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9051899740886117,0.4606806402522623,0.018051485890699753,0.006972857314967728,"{""clf__C"": 1.0}"
2026-02-26 22:34:44,PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.909919622610949,0.5177109918205013,0.016817374236624397,0.007656636859741605,"{""clf__C"": 0.1}"
2026-02-26 22:34:45,PHASE1_MAIN,A,S1,P0,svm_linear_cal,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9186052397149337,0.4847336231325108,0.01752201306221432,0.005093760487549936,"{""clf__C"": 0.1}"
2026-02-26 22:35:31,PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9644302772718073,0.5921421419264145,0.017364802813696147,0.015402748640944392,"{""clf__max_depth"": 6}"
2026-02-26 22:36:18,PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.9244618897354986,0.4119670088804487,0.019643546895344813,0.00488483559255957,"{""clf__max_depth"": 12}"
2026-02-26 22:37:04,PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9549295774647888,0.6421396597955574,0.015125084753559491,0.00999302029784733,"{""clf__max_depth"": 12}"
2026-02-26 22:37:51,PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9631569889860706,0.6194586513654369,0.015985104016254605,0.010273527144207296,"{""clf__max_depth"": 12}"
2026-02-26 22:38:40,PHASE1_MAIN,A,S1,P0,rf,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9526947683835439,0.5717044698502955,0.01662347597064394,0.00976266571969697,"{""clf__max_depth"": null}"
2026-02-26 22:38:53,PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9717719085205424,0.6257663077355854,0.014830940179282865,0.0076753260753903655,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
2026-02-26 22:39:06,PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.9474691500551579,0.4256297649852853,0.01865421328150894,0.008359708443244719,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
2026-02-26 22:39:19,PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9712871033120398,0.6547719492609771,0.013866262065759683,0.010798571842687208,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 5}"
2026-02-26 22:39:31,PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9659205944282475,0.6369110892203335,0.014879382071068205,0.008447715361214136,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
2026-02-26 22:39:44,PHASE1_MAIN,A,S1,P0,xgb,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9585459183673469,0.5488838773041795,0.016197182082174227,0.006580194325419018,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
2026-02-26 22:40:10,PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9582371989475814,0.5636733796980126,0.01788796958321837,0.013895050046368627,"{""clf__max_depth"": 12}"
2026-02-26 22:40:38,PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.9279381205264373,0.3626424625087343,0.02022536300505051,0.0050201231060606035,"{""clf__max_depth"": null}"
2026-02-26 22:41:04,PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.958115908566151,0.5978201522103874,0.017019230345526583,0.013801115590036557,"{""clf__max_depth"": 12}"
2026-02-26 22:41:30,PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.956126498218335,0.5851254921435344,0.017856876498562897,0.016697254116153526,"{""clf__max_depth"": 12}"
2026-02-26 22:41:58,PHASE1_MAIN,A,S1,P0,extratrees,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9566402453838679,0.5622240765865081,0.017328016493055556,0.009880445075757574,"{""clf__max_depth"": null}"
2026-02-26 22:41:59,PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9389243068204817,0.5571575188097044,0.016019554092511382,0.007210211659228484,"{""clf__C"": 1.0}"
2026-02-26 22:42:00,PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.8818389389158265,0.30464802853617295,0.020485402272652272,0.007027358535880013,"{""clf__C"": 1.0}"
2026-02-26 22:42:00,PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9118191846891917,0.4646104559606283,0.017945948216185396,0.005529821421653676,"{""clf__C"": 1.0}"
2026-02-26 22:42:01,PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9216674765144153,0.5097071084493643,0.016902263083982332,0.005713688434063303,"{""clf__C"": 0.1}"
2026-02-26 22:42:02,PHASE1_MAIN,A,S1,P1,lr_l2,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9222748623258827,0.4731192531180115,0.018013447717057637,0.003688718104134353,"{""clf__C"": 1.0}"
2026-02-26 22:42:03,PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9374215745800444,0.5597342973894258,0.01614614534549013,0.007713792153695867,"{""clf__C"": 1.0}"
2026-02-26 22:42:04,PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.8608019702916955,0.2978040840371114,0.02082410400666654,0.004928537084678621,"{""clf__C"": 10.0}"
2026-02-26 22:42:05,PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9051643192488262,0.46077952356706187,0.01805063761849973,0.007059164616493608,"{""clf__C"": 1.0}"
2026-02-26 22:42:06,PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9099044379656624,0.5175652168895768,0.016815311212976553,0.0075767677366469655,"{""clf__C"": 0.1}"
2026-02-26 22:42:07,PHASE1_MAIN,A,S1,P1,svm_linear_cal,2026,PHASE1_MAIN,5,11265,2816,0.02556818181818182,0.9202603660511823,0.4901043071692447,0.017467078762087654,0.0037272857842693434,"{""clf__C"": 0.1}"
2026-02-26 22:42:54,PHASE1_MAIN,A,S1,P1,rf,2026,PHASE1_MAIN,1,11264,2817,0.025559105431309903,0.9688524590163934,0.6200418583739636,0.016068646629021372,0.013081373217050926,"{""clf__max_depth"": 12}"
2026-02-26 22:43:40,PHASE1_MAIN,A,S1,P1,rf,2026,PHASE1_MAIN,2,11265,2816,0.02521306818181818,0.9244105800559276,0.4070271519234703,0.019721286689130178,0.005096656938145474,"{""clf__max_depth"": 12}"
2026-02-26 22:44:26,PHASE1_MAIN,A,S1,P1,rf,2026,PHASE1_MAIN,3,11265,2816,0.02521306818181818,0.9544010877652069,0.6452317933349859,0.015130624083754006,0.00926614656946678,"{""clf__max_depth"": 12}"
2026-02-26 22:45:15,PHASE1_MAIN,A,S1,P1,rf,2026,PHASE1_MAIN,4,11265,2816,0.02556818181818182,0.9594772432782638,0.6276792650672924,0.01570157532354798,0.011171283143939392,"{""clf__max_depth"": null}"
